lwage,educ,exp
3.447965,17,38
3.226384,11,29
1.636914,8,39
2.915988,14,25
2.034470,11,5
2.881864,12,30
1.960536,8,8
2.955558,17,17
3.056075,19,11
2.221676,10,24
2.817519,19,27
1.822934,8,32
1.717345,15,5
2.591757,18,14
2.675164,17,25
2.653948,19,22
2.142955,9,22
1.670831,9,2
2.059785,8,34
2.682907,11,21
3.142248,19,21
2.154779,10,40
2.409260,19,4
3.118363,20,23
2.518659,20,3
1.303547,11,20
2.325245,17,10
3.189277,13,21
2.514211,14,36
2.470301,12,4
2.444773,18,1
2.743225,18,3
2.748890,18,6
2.710631,15,11
2.856342,12,30
1.900788,11,3
2.550554,15,6
2.047634,10,39
2.407114,13,33
3.192848,19,21
3.000964,19,27
2.879175,19,7
2.207342,17,7
3.106654,18,30
3.234818,17,16
2.066458,15,36
2.125253,9,29
3.005585,16,27
1.764933,8,5
2.701000,18,16
2.220767,9,1
1.567624,12,19
2.474019,8,20
2.690372,16,7
2.544303,15,31
2.508532,15,35
1.952273,11,8
3.253066,17,12
3.747837,16,38
2.768690,13,25
2.901298,18,39
2.495809,19,2
1.827378,8,24
2.119466,12,27
2.463276,10,28
2.633110,16,18
3.503817,15,25
2.111909,19,4
2.881361,13,37
3.410539,11,40
2.120506,13,22
1.943898,9,12
1.992731,9,24
2.160260,10,23
3.072815,16,34
2.275578,8,23
2.191035,9,17
2.900450,20,9
2.198276,11,16
2.309823,14,36
3.456400,20,38
2.229092,15,5
2.068050,10,10
3.042771,10,32
1.207145,8,8
2.670031,12,38
3.715561,20,35
2.020056,14,8
2.774993,14,38
3.030068,12,37
2.893828,20,14
2.122768,8,13
2.823615,10,11
2.222640,13,18
2.212898,18,19
3.166282,15,34
2.595337,19,15
2.439071,11,36
1.384556,10,0
2.145247,9,26
3.752570,20,39
2.161631,10,38
3.305970,16,24
2.982265,19,33
2.796889,16,10
1.760532,11,10
3.026168,16,13
1.977033,8,30
2.848138,18,9
3.092511,15,20
2.565727,11,17
2.917103,13,29
2.115347,10,21
1.837359,11,9
2.760730,16,14
2.513836,14,17
1.572711,8,20
2.803335,20,35
1.711261,11,5
1.939389,8,9
3.021137,18,25
2.900598,17,11
2.052146,15,29
2.011435,10,33
2.303895,19,7
1.863232,10,10
1.867533,8,25
2.633869,20,23
1.969602,9,8
2.376051,20,13
2.194861,10,20
2.297117,15,2
2.637902,16,4
2.490039,19,21
1.921308,11,24
2.272265,8,12
2.139262,13,20
1.901435,11,36
2.739241,20,8
2.190225,10,2
2.172294,16,0
2.997804,16,31
1.726014,10,11
0.898737,9,1
1.885916,9,2
2.843767,19,24
3.215854,20,31
1.881958,16,2
2.699806,15,33
2.617599,15,20
2.183550,11,5
2.883072,18,8
2.020026,15,2
2.296793,10,25
1.338862,10,3
1.836535,10,8
2.480576,13,11
2.628901,17,33
2.163853,9,16
2.412812,19,29
3.207387,18,31
2.732761,19,19
2.620403,15,14
1.769637,13,23
2.241209,8,35
3.082250,16,18
3.375694,14,30
2.861123,19,20
3.096991,19,34
2.664262,17,20
2.816278,11,32
2.808079,14,27
2.588014,13,35
2.888944,14,39
2.998143,19,39
3.587808,19,35
3.870922,20,26
2.826380,13,40
1.995070,10,4
3.791697,19,35
1.930635,12,6
2.710771,15,28
3.153210,17,12
2.112954,11,12
3.115224,12,29
3.157599,16,27
3.110145,16,14
1.608877,11,3
2.297443,10,12
2.374332,11,24
1.664647,8,38
3.881954,17,33
2.300242,15,40
2.719023,9,18
1.756373,9,1
1.804935,9,7
2.542723,19,22
2.876765,20,40
2.022394,14,6
2.888741,18,21
2.144194,10,14
2.924733,17,40
2.491211,14,27
3.619963,16,39
2.427000,10,17
2.609763,19,4
1.930865,13,14
2.844335,20,15
3.190988,13,38
3.145292,19,3
2.235038,8,35
2.535139,13,14
2.523469,13,13
3.389299,20,4
3.393937,17,23
1.990158,12,20
3.319824,19,26
2.873356,14,11
2.687721,15,14
3.284349,14,14
1.616361,9,10
2.356252,13,39
2.108477,14,37
2.044190,11,19
2.947458,15,18
2.551024,9,23
2.913558,17,15
2.216100,9,21
3.355840,19,39
2.423170,13,11
1.823797,10,5
2.774858,19,1
2.497185,10,3
2.086005,12,17
2.708029,18,10
2.593561,13,24
3.120180,18,31
2.343715,9,19
3.314806,20,0
2.644633,18,18
3.065066,13,22
2.664628,17,1
2.752105,15,34
2.743659,18,2
2.621760,20,4
1.353372,8,27
2.725862,18,31
2.602853,9,10
1.705805,13,8
2.277974,10,10
1.851835,10,3
1.908566,18,19
3.150266,14,30
2.881397,12,31
2.845838,19,7
2.083219,9,9
2.429773,16,22
2.942561,12,10
1.625417,10,12
1.898871,12,2
2.212588,14,1
2.193510,11,0
1.855457,11,4
2.649485,19,14
2.157412,10,23
2.298980,14,10
2.774455,14,34
2.595450,11,18
2.033312,14,0
2.582003,10,21
2.026676,12,1
3.088657,17,12
2.397763,13,1
2.081709,16,5
2.483599,12,24
2.005381,16,0
2.137231,12,14
3.147581,16,14
2.172561,11,18
3.529925,18,36
2.633501,8,40
1.919282,9,21
1.914222,15,9
2.414531,12,2
3.361028,19,31
3.302970,20,26
2.263438,14,13
3.248561,15,26
3.221113,13,40
2.537572,17,12
3.107637,20,17
2.242008,12,14
2.957554,19,29
2.110905,16,13
2.488211,14,23
3.009330,18,33
2.334022,14,29
2.233348,11,26
2.633636,14,29
3.172058,18,18
1.253205,9,3
2.202335,9,30
1.772427,13,23
2.522636,15,33
3.099834,13,26
2.825733,16,17
2.724922,17,15
2.359177,9,15
2.384091,15,19
2.559554,14,10
2.983097,17,20
3.500109,20,17
2.302573,8,13
2.714818,17,38
3.407272,20,33
1.629101,14,6
2.147999,17,14
2.184436,15,21
1.762533,10,25
3.328183,18,39
1.970511,11,40
2.969627,12,19
1.733541,8,5
2.952323,16,5
2.780611,15,23
3.334875,20,3
3.192937,19,15
3.208723,18,21
1.917399,11,6
2.602349,12,5
2.384711,8,33
2.170325,11,10
1.611381,8,5
2.793016,18,4
3.852469,19,25
2.994453,15,36
2.484796,11,38
1.942415,10,19
2.787247,12,33
2.388398,12,9
3.218453,13,36
2.783970,15,31
3.414643,19,40
2.586490,16,6
2.756806,19,12
1.712121,15,3
2.760362,14,13
2.075542,12,25
2.285992,14,19
2.410241,10,22
2.976791,9,14
3.365428,19,37
2.313397,8,28
2.085029,12,28
3.269391,17,40
2.033088,13,12
3.255478,20,16
2.474594,17,21
2.642810,17,40
2.789575,16,13
2.851286,12,31
2.268968,17,34
2.397549,10,20
2.717328,12,9
2.580879,12,34
2.217776,18,33
2.583728,10,14
2.525602,11,31
2.578799,16,11
2.773842,13,17
2.050210,10,18
1.344204,9,38
2.971853,19,37
2.586547,14,17
1.742092,8,16
2.565755,12,8
2.017872,12,21
1.987985,12,6
2.407214,15,8
2.025763,16,4
2.131441,11,36
2.359705,14,0
2.677218,12,39
2.248933,10,26
2.749167,19,16
2.718260,13,12
3.082648,18,16
2.559696,11,30
1.738965,8,9
2.697578,18,7
2.363203,14,14
2.810862,20,14
3.235685,15,30
1.810582,15,6
2.151199,13,19
2.938384,20,7
3.005848,20,2
2.490106,15,19
3.218651,16,34
1.964916,8,37
2.634254,15,20
2.130225,9,30
1.878530,10,32
2.240913,18,6
2.498669,16,29
2.134378,12,10
2.425880,9,30
1.646828,9,8
3.286214,16,34
2.714710,16,2
3.158758,15,11
3.278643,20,19
3.000609,19,30
1.468287,8,22
2.577224,14,14
2.293234,10,26
1.946224,11,9
2.810396,20,24
1.770665,8,21
1.905917,12,8
2.822014,15,32
2.380361,19,17
3.112293,19,10
2.033131,8,31
1.192353,8,11
2.613668,15,21
3.722031,18,32
2.562178,17,14
2.469480,10,18
3.537840,16,35
2.323658,18,19
2.097808,11,18
3.542928,9,35
2.257784,15,3
2.092985,8,35
2.868611,19,20
2.915253,19,22
3.276806,18,38
2.700487,9,38
2.701511,14,30
2.776066,14,35
2.774398,14,36
2.138366,11,22
2.437903,17,6
2.625896,16,30
1.507031,11,5
3.340227,16,39
1.822366,13,33
2.345763,14,15
2.574773,13,7
3.352500,19,17
2.535751,15,8
2.543051,8,38
2.239882,14,6
2.818984,17,7
3.136728,12,29
1.988964,12,10
2.350508,8,28
1.787159,12,24
3.197010,19,37
3.097104,16,29
2.235751,10,6
2.068431,9,16
2.112058,8,26
3.205289,20,27
2.660522,17,38
2.902722,8,38
2.305616,13,7
2.826683,19,3
2.930844,14,32
3.016445,17,29
1.919150,12,24
3.022259,20,35
2.339722,13,28
1.625876,10,20
3.139976,14,25
2.533715,11,11
2.639355,9,34
2.376497,14,8
3.073943,13,40
1.681284,9,2
3.394718,14,20
2.209210,11,24
2.692571,15,2
1.151644,8,10
2.482530,16,11
2.448236,11,26
2.320620,8,36
2.521230,17,2
2.808968,13,24
2.631261,14,1
3.533724,19,16
2.695787,13,31
2.595275,18,11
1.973831,12,14
2.063346,9,31
3.130019,18,27
2.189582,16,3
2.063722,9,3
1.852973,8,26
2.034628,9,31
2.729287,18,18
2.756607,11,33
3.580125,19,9
2.047485,8,11
2.771108,19,27
2.762556,19,30
2.810190,14,3
3.152135,18,13
1.705226,13,3
3.118390,20,31
2.832411,15,39
2.303204,8,18
2.990660,20,15
2.755669,10,35
1.814266,9,18
3.248673,17,19
2.714468,18,24
2.129080,10,23
2.317331,14,20
2.938784,16,29
2.864175,15,30
3.416144,18,33
1.772191,9,21
1.663256,9,11
2.163689,9,34
2.468637,11,26
2.276754,10,13
2.978296,14,40
3.049184,15,39
1.899957,8,37
3.274954,14,12
2.069841,11,1
2.436291,12,38
2.909667,19,32
2.342067,14,14
2.928591,14,24
3.514267,16,26
1.719389,9,19
2.795356,17,7
2.566330,11,26
3.097964,20,39
2.978501,16,5
2.671560,19,12
3.384575,15,36
2.505512,18,1
2.201739,8,28
2.697854,11,7
3.300573,13,38
1.998530,13,39
1.905145,13,0
2.389666,9,37
2.482298,13,27
2.490565,19,1
2.971269,20,24
2.669385,13,13
2.387756,11,27
2.369293,9,4
2.930791,14,26
1.760674,9,13
2.638737,18,38
2.484425,10,27
1.786952,8,21
1.889201,8,5
2.351806,15,18
2.513139,16,2
2.737850,17,13
2.405720,14,36
2.390522,12,3
2.517552,8,4
2.193505,18,0
2.832620,15,19
3.034829,12,29
2.310826,14,8
2.296638,10,36
2.306304,13,14
1.841917,11,4
3.097013,12,32
2.620014,14,20
1.956882,10,16
1.985313,8,25
2.067567,16,0
1.879196,10,3
3.258562,19,29
2.452183,19,2
2.427054,18,14
1.448850,8,3
3.076416,20,10
2.748602,11,35
2.940722,16,33
2.603214,19,23
2.797400,8,35
2.808238,15,31
1.772313,8,5
2.511626,11,17
3.040613,20,15
2.685917,19,14
1.956562,10,3
2.743733,12,21
2.277014,14,14
2.170183,16,4
2.193727,10,21
3.304571,16,38
2.669979,13,29
2.390789,8,18
2.352025,17,13
1.870488,10,0
2.776306,15,4
2.566045,17,4
2.525088,9,22
2.452512,8,32
3.021176,16,31
2.762606,19,5
2.798606,16,18
2.057191,12,5
2.805256,15,9
2.310352,14,16
1.790370,9,3
2.966455,13,32
3.412988,14,31
1.692006,11,23
2.599476,18,18
1.372696,11,26
2.263315,8,9
2.712938,11,33
1.836852,12,0
2.222652,10,27
2.956364,18,30
3.332223,17,33
2.240081,12,13
2.954409,17,40
3.256377,20,39
3.175753,16,11
1.948168,10,13
3.401174,20,0
3.457641,19,33
1.747802,9,25
2.374629,12,10
2.129474,14,9
2.806643,10,7
2.002214,14,9
3.847613,19,17
2.839503,13,34
1.943645,9,21
2.257358,13,9
2.414181,14,20
3.243372,20,16
3.718618,20,8
2.554019,15,25
2.900130,13,32
2.417667,15,30
1.992765,14,28
2.990897,20,18
2.646597,19,34
2.292051,11,3
2.953647,13,17
2.281706,15,21
1.731437,9,9
2.141801,15,14
3.152727,20,24
3.743719,20,39
2.630853,14,6
2.708530,9,21
2.395193,13,19
1.532044,9,5
2.285402,20,4
2.707794,17,22
1.685048,8,1
2.027377,10,9
2.538464,11,13
2.971808,20,8
3.080007,20,8
3.007195,15,31
3.087126,14,19
3.251591,18,14
2.600164,11,0
2.164120,8,26
2.842196,19,32
2.301421,14,28
2.051405,15,29
3.161202,19,31
2.954861,19,27
1.932865,15,19
3.467628,17,38
3.570102,13,13
1.730082,8,13
2.490902,14,20
1.995491,10,24
3.063386,17,25
2.951049,12,26
2.748553,13,32
2.774246,19,25
3.460848,15,38
2.250825,10,15
2.366991,8,18
1.719556,8,12
2.742551,12,27
2.093333,14,28
2.427293,10,19
2.834057,10,29
2.824816,17,38
2.177682,10,33
1.564596,10,27
2.605945,10,32
2.159203,10,19
1.884821,13,1
2.324529,8,28
2.907650,16,32
2.705050,15,23
2.464079,8,30
3.382359,18,3
2.556423,12,38
3.024904,18,27
1.987208,11,1
2.622008,18,7
2.466599,13,17
1.202565,9,11
2.454683,12,3
2.465186,12,40
2.020072,12,20
3.144373,16,27
2.207298,16,3
2.396721,8,11
3.649813,19,24
2.428477,13,21
2.594159,14,12
1.503239,11,8
2.223943,18,26
3.166836,16,33
3.147410,17,32
2.968509,18,32
3.353819,20,32
2.457961,14,40
2.229284,12,29
1.839468,8,9
1.984015,15,6
3.531699,20,26
3.540489,18,19
3.005047,11,24
2.340307,8,11
2.189638,12,12
2.653912,14,29
2.269335,14,6
2.372414,14,13
3.233469,19,27
2.288309,12,29
2.165640,16,10
1.348948,10,21
3.032970,19,39
2.357793,15,9
2.576315,17,4
2.323898,8,15
2.737774,15,4
2.839086,16,19
3.764517,18,37
2.681220,10,31
2.746389,13,35
2.447597,12,21
2.509490,8,27
1.813493,12,24
3.178036,12,32
3.491236,20,25
2.658826,14,20
2.566689,16,29
1.548866,10,31
2.293717,15,14
2.019487,9,21
2.576476,9,26
2.845206,11,39
2.543797,8,36
1.609849,8,6
2.539564,8,38
1.522379,9,22
2.662610,18,18
2.906292,19,28
2.985530,14,18
2.802289,18,30
3.105297,12,38
2.847725,17,29
2.636488,18,11
2.346138,9,29
2.615303,14,9
2.292375,13,40
1.725720,9,0
2.109082,9,35
2.608176,17,9
3.142676,17,14
3.143689,18,38
3.060902,19,36
2.131395,10,24
1.673001,8,6
2.659832,12,39
3.324378,20,21
2.355261,15,30
2.056660,17,8
2.980494,19,20
2.866356,10,40
2.767748,17,32
1.686249,11,9
2.656812,18,11
2.305908,11,11
2.990438,19,4
2.466042,18,24
3.263405,16,40
2.478469,12,38
3.264669,16,36
2.713386,19,5
2.593727,17,3
2.513335,17,4
3.036432,16,29
2.495029,10,25
3.266564,15,10
2.954240,19,27
2.683241,11,36
1.864885,9,14
2.716947,19,8
1.768216,9,6
1.774302,10,33
2.201220,10,10
2.291023,9,38
2.699105,13,23
2.684967,14,1
2.640817,16,13
3.482180,20,28
2.117071,8,34
2.952173,15,30
2.225357,13,12
1.873334,8,8
2.067835,9,26
1.827642,12,22
2.558375,14,16
3.137780,17,23
2.073122,10,5
2.995241,16,40
3.256709,17,27
2.907440,17,30
2.150267,14,35
2.178371,11,2
2.207938,16,13
2.186092,10,35
2.398077,11,22
1.834031,11,40
2.470148,20,1
2.717653,20,0
2.424061,9,28
2.713996,14,14
2.220546,10,25
3.504202,16,34
1.839492,14,6
2.166457,10,25
2.567764,20,14
3.055593,16,40
1.335823,10,3
2.799293,16,18
2.366822,9,18
3.033295,18,27
2.313694,10,35
1.998471,8,16
2.756067,20,2
1.314243,9,11
1.447304,8,4
1.889940,16,0
1.665669,8,17
2.749766,19,33
2.855882,13,31
1.832586,9,18
2.589668,15,24
3.223785,20,29
2.303232,17,23
2.823116,15,23
3.597394,20,28
2.823614,18,7
2.283363,17,12
2.958265,16,36
2.562700,13,18
3.017359,14,17
1.612019,12,11
3.207611,18,33
2.856070,19,2
2.559380,13,28
2.274222,10,0
2.559165,14,40
2.452746,18,1
2.593097,15,14
2.925896,10,29
1.674145,11,24
1.987195,13,21
1.582638,8,4
2.112182,15,10
3.173426,19,34
3.120456,20,3
2.763692,20,14
1.986990,11,5
2.590576,15,10
1.853597,13,23
1.832597,11,5
2.344391,13,21
1.858301,12,22
2.813484,16,40
2.507073,11,25
2.303117,11,40
2.361125,10,36
3.175719,18,30
3.013511,15,10
2.876238,19,10
2.570930,18,26
2.118008,9,25
2.521027,12,0
2.545577,17,9
2.600460,11,20
2.849364,18,31
2.758003,13,34
3.655316,19,40
1.531725,11,5
2.786139,16,12
2.563115,11,36
1.574482,13,7
1.615184,11,25
2.244302,10,9
3.053589,15,21
2.386286,12,35
2.817208,10,29
1.428575,15,4
3.689961,17,39
3.204752,18,24
2.009362,8,36
1.863898,8,33
2.546058,9,17
2.345569,17,9
3.233342,17,33
1.646951,9,10
1.986238,8,32
2.143685,14,2
3.840495,17,26
2.374590,17,13
2.578774,20,10
2.982133,17,13
2.809677,19,34
1.865240,9,26
2.276565,9,12
2.418093,8,39
2.025696,15,1
2.495623,11,12
1.760755,16,3
3.316123,18,21
2.438273,10,2
2.674810,11,37
1.856306,9,3
2.846860,19,24
2.441315,13,2
2.794852,18,21
2.339504,10,29
2.000729,12,0
2.894591,12,40
2.536883,17,24
2.371865,9,39
2.813054,16,18
3.160805,18,18
2.677480,18,25
3.222253,18,9
2.038336,12,0
1.780381,11,5
3.555784,18,20
2.021458,11,34
2.220651,10,27
2.194732,8,0
2.637492,16,12
2.408628,19,5
2.290965,8,17
2.637818,16,1
2.538046,13,12
3.029698,14,39
1.506822,8,10
2.649949,20,0
2.832278,18,28
2.185838,10,5
2.754388,14,35
2.048568,16,20
2.468708,12,28
2.057867,10,24
3.030839,10,26
2.780635,13,26
1.990692,12,15
2.804513,12,22
2.457426,13,26
2.673071,15,18
3.012684,14,25
3.335344,20,13
2.538112,17,0
3.629378,19,37
2.644483,14,19
2.251289,13,5
2.261034,11,23
1.626100,11,5
1.949174,8,14
2.315718,15,13
2.928658,16,10
3.158541,18,24
2.591298,18,6
2.889134,20,17
2.367158,14,33
2.662178,16,18
2.734537,19,10
3.282534,16,27
2.490924,16,25
2.105621,9,29
2.122195,10,19
3.150541,20,30
3.159795,14,39
3.062447,18,24
2.103890,12,10
3.166839,16,14
3.190341,15,33
1.666393,10,38
2.419086,14,13
2.833857,15,26
1.693954,10,5
2.083798,13,10
1.884519,10,0
2.670237,14,21
2.478708,9,7
3.099374,20,24
2.355138,8,7
2.685828,10,40
2.327887,11,23
2.342457,16,12
2.071286,15,10
2.329908,14,32
2.540561,16,24
2.146939,9,24
3.093164,14,40
2.743097,16,19
3.353784,18,3
2.889925,18,21
3.406607,17,36
1.861577,13,0
2.879861,20,7
2.371924,15,7
2.396210,12,31
3.134480,18,28
2.736584,18,18
2.094357,11,19
3.366203,19,15
1.531548,12,4
2.397578,13,14
3.236952,15,31
2.839732,15,7
2.552066,19,14
2.041705,9,3
3.015963,16,37
2.951793,15,31
2.332729,13,20
3.470273,20,35
1.735370,10,3
2.623161,16,13
2.281624,17,4
3.585466,20,20
3.806645,18,36
3.261522,19,24
2.554761,12,11
1.982614,13,2
2.371849,15,37
1.980711,9,22
1.819499,8,25
3.385067,18,31
2.284182,8,23
2.834837,16,38
2.940849,10,36
3.055845,15,39
2.725903,19,10
2.857347,19,24
2.149655,13,0
1.825651,9,13
2.593945,18,34
1.882234,10,25
2.165182,10,19
3.506882,19,39
3.467532,19,6
2.693133,14,25
3.044176,18,30
2.532820,15,21
2.054435,11,13
1.757343,16,1
2.573745,16,16
2.056257,10,9
2.489349,16,23
1.996489,15,16
1.525937,8,8
1.904020,12,17
2.232645,15,0
2.817765,17,11
2.400895,10,37
2.698773,18,38
2.421481,11,17
3.088114,19,16
2.816981,20,33
2.563642,17,3
2.778899,18,24
1.727943,8,18
2.609150,19,1
2.978110,10,37
3.463942,19,39
1.502125,10,5
2.642182,15,34
2.417717,13,26
2.799032,9,40
1.639971,13,7
2.233076,12,11
1.786028,11,2
3.307002,15,28
2.289869,12,25
3.116847,20,21
2.730353,10,36
2.288862,9,7
2.827879,14,19
1.897101,12,4
2.480721,19,26
3.794011,20,36
2.546541,9,13
2.810285,17,16
2.265554,15,0
2.154131,10,24
2.267450,15,0
2.483814,10,35
2.728028,15,22
2.840349,19,13
2.652752,13,38
2.695772,12,2
3.283311,10,18
2.624910,12,16
3.197673,19,28
2.317330,12,35
1.623963,8,0
3.289326,15,39
3.028908,9,21
2.315042,14,39
2.431807,11,33
2.276961,10,11
2.545308,11,27
2.142928,10,2
2.087692,16,0
3.461629,19,35
2.939870,15,33
2.513979,17,36
2.297031,10,18
3.011938,8,33
3.557280,17,26
1.925256,12,19
2.800284,20,31
3.032052,11,38
2.393583,11,36
2.435293,18,9
2.598286,17,31
1.658481,15,5
2.683800,12,33
2.302546,18,8
2.708057,20,20
2.788473,20,7
3.072198,17,15
2.228291,13,18
2.711745,8,33
2.363207,12,1
3.515297,16,24
3.269368,20,16
1.960268,15,1
1.824696,15,11
2.469056,14,38
2.147254,13,15
2.994575,19,20
2.492866,14,31
2.708942,13,6
2.568629,9,27
3.033198,13,33
2.071868,8,30
2.500161,12,36
2.143337,13,7
1.854191,11,0
2.447274,11,31
1.855489,8,29
2.283387,18,0
2.711806,16,31
2.374937,16,12
2.353360,10,21
3.018852,13,35
1.695646,10,11
1.791315,11,6
2.899084,16,19
2.207479,12,9
1.910423,9,2
2.971685,13,19
2.206458,10,19
3.457879,17,31
2.891705,18,10
2.337297,10,20
3.176764,13,17
2.217199,15,12
2.714341,18,10
3.027108,13,25
1.921353,8,2
2.807928,18,24
2.901060,14,37
3.025584,16,40
1.901919,11,18
2.923985,9,36
2.154911,16,11
2.730786,11,33
3.049549,18,13
2.031841,13,4
2.400871,10,33
2.646719,11,16
2.585966,18,2
1.636092,8,1
2.429688,16,14
2.387832,8,9
1.949619,9,29
2.962931,18,16
2.547555,11,4
1.786278,11,6
3.426357,19,36
3.246248,18,15
2.748627,17,5
2.353937,10,12
2.695432,16,21
2.952437,10,39
2.798123,18,33
2.938189,19,36
3.105775,16,23
2.550870,11,25
2.046619,10,30
2.233765,10,13
2.482709,11,28
1.709712,11,12
3.206501,13,19
2.747345,11,13
3.191166,19,9
2.064278,8,17
3.094513,20,13
2.060379,10,16
1.700846,10,0
2.915654,16,29
2.909065,19,36
2.193020,13,1
2.784214,20,31
2.704362,13,15
3.494400,20,34
2.620011,9,8
2.422350,15,8
2.468080,19,9
1.931556,12,1
2.060398,8,30
2.017607,10,34
2.530272,16,1
3.133368,20,36
2.085064,8,8
2.812915,18,11
2.506941,11,0
3.488984,20,35
2.581442,8,29
2.789678,19,25
2.958556,19,22
3.006005,14,35
2.191725,13,8
1.817929,16,2
2.778743,18,23
2.381874,15,33
2.483125,9,40
2.327581,8,28
2.483030,18,2
2.879987,19,31
2.551222,16,17
2.859017,11,18
2.235172,14,9
3.083022,18,38
2.461445,13,2
2.999264,20,12
2.346746,10,30
3.369683,17,0
2.614168,9,24
1.652871,12,9
2.637664,9,23
2.556556,14,6
3.226009,12,10
3.087779,11,40
1.817819,15,3
2.468324,12,33
3.264440,18,10
2.013972,9,26
1.955267,11,8
2.072044,9,26
2.471284,15,21
1.918384,10,34
3.605329,20,18
3.206392,17,20
1.845646,9,9
2.154583,14,19
2.040662,9,26
3.046222,20,27
2.171828,8,21
2.591515,8,32
2.172109,13,4
1.786226,12,13
2.434948,8,19
2.503205,16,24
3.602545,20,30
2.754857,17,26
3.450158,13,28
2.201196,13,8
2.284498,8,11
2.657285,12,11
3.140880,17,16
2.914470,17,15
3.873159,19,39
3.062071,8,40
2.861998,16,28
2.358138,13,39
2.392141,15,0
2.360359,17,1
3.088690,13,37
2.815859,18,0
2.956655,19,24
2.666940,11,24
3.115797,18,10
3.159098,18,37
2.228173,11,9
2.741831,17,3
1.713846,9,22
3.421297,15,25
2.107570,15,1
2.171755,19,5
2.037626,13,6
2.578630,19,30
3.398554,19,37
1.890284,8,11
3.351078,19,17
2.382402,8,35
2.855395,17,25
2.525502,13,16
2.867644,13,30
2.897818,12,6
1.571905,9,12
1.547230,10,15
2.854088,14,21
1.745282,14,9
2.828401,11,21
3.011993,13,24
1.915828,10,22
2.576406,14,30
3.269366,17,20
1.720176,14,0
3.029370,18,30
2.336107,12,17
2.619464,14,23
2.498793,14,0
2.446462,14,17
2.345659,9,27
2.091592,8,40
2.624882,10,26
3.168511,19,4
2.933021,19,24
2.508494,18,23
2.438373,12,27
3.676502,16,39
2.870428,18,18
2.210544,12,9
1.855677,9,27
2.593704,20,13
2.382851,10,40
2.573962,14,7
2.595681,15,22
2.579655,8,29
2.557689,12,21
2.020909,16,29
2.865769,16,12
2.160119,9,36
2.719238,17,21
2.545698,8,36
2.999414,11,29
2.729050,17,16
2.265825,15,13
2.898951,20,8
2.280251,14,10
2.644481,19,9
2.798194,19,8
2.052261,8,15
3.438977,19,33
2.299790,13,0
2.873097,17,36
3.005999,20,0
1.966898,19,11
2.693378,18,26
2.776881,17,16
2.045948,12,28
2.958297,13,18
2.691600,20,10
3.299878,20,20
2.778415,17,26
1.502707,8,11
3.313279,20,31
3.059881,15,25
2.502487,13,35
2.548407,19,22
3.101467,19,7
2.763922,16,17
2.584375,18,31
2.680054,12,30
1.945442,8,5
1.655319,9,8
2.391663,16,3
2.251081,12,14
2.316603,18,5
2.499060,14,3
2.952712,19,8
3.249127,20,2
2.961005,15,32
2.072231,15,11
3.004430,16,34
2.051218,16,3
2.703231,14,35
2.465027,19,11
2.995504,12,19
2.737865,20,21
3.430842,18,37
2.618916,18,27
